,game,Genre,ESRB_Rating,Platform,Publisher,Critic_Score,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year
770,kinect disneyland adventures,Action Adventure,E10,X360,Microsoft Studios,8.5,2.41,1.73,0.43,0.02,0.23,2011.0
771,pro evolution soccer 2011,Sports,E,PS3,Konami,6.0,2.41,0.29,1.18,0.54,0.41,2010.0
775,halo combat evolved anniversary,Shooter,M,X360,Microsoft Studios,8.0,2.41,1.44,0.71,0.04,0.22,2011.0
779,midnight club los angeles,Racing,T,X360,Rockstar Games,8.0,2.4,1.72,0.45,0.01,0.22,2008.0
793,guitar hero,Misc,T,PS2,RedOctane,8.0,2.38,1.67,0.61,0.03,0.07,2005.0
799,the incredibles,Action,T,PS2,THQ,5.9,2.37,0.96,1.08,0.04,0.3,2004.0
817,kinect sports season two,Sports,E10,X360,Microsoft Studios,6.6,2.33,1.38,0.72,0.02,0.21,2011.0
824,grand theft auto,Action,M,PS,Take Two Interactive,6.0,2.32,0.79,1.35,0.04,0.14,1998.0
829,the sims 3,Simulation,T,X360,Electronic Arts,8.0,2.31,1.28,0.82,0.0,0.2,2010.0
838,dead island,Action,M,PS3,Deep Silver,6.7,2.29,1.08,0.74,0.15,0.32,2011.0
841,pro evolution soccer 2010,Sports,E,PS3,Konami,7.0,2.28,0.3,1.27,0.46,0.26,2009.0
854,no mans sky,Action Adventure,T,PS4,Hello Games,6.8,2.26,0.89,0.97,0.04,0.37,2016.0
857,guitar hero iii legends of rock,Misc,T,PS3,RedOctane,8.2,2.25,1.4,0.53,0.02,0.3,2007.0
878,need for speed hot pursuit,Racing,E10,X360,Electronic Arts,8.8,2.2,1.03,0.96,0.0,0.21,2010.0
885,bioshock 2,Shooter,M,X360,2K Games,8.6,2.2,1.45,0.54,0.02,0.2,2010.0
887,final fantasy xiii,Role Playing,T,X360,Square Enix,8.1,2.19,1.3,0.67,0.01,0.21,2010.0
894,pro evolution soccer 2012,Sports,E,PS3,Konami,7.5,2.19,0.34,0.97,0.55,0.32,2011.0
895,saints row,Action,M,X360,THQ,8.0,2.18,1.17,0.77,0.02,0.22,2006.0
896,need for speed payback,Racing,T,PS4,Electronic Arts,5.8,2.18,0.62,1.18,0.04,0.34,2017.0
904,scribblenauts,Puzzle,E10,DS,Warner Bros. Interactive,8.2,2.17,1.67,0.3,0.02,0.18,2009.0
926,nba 2k12,Sports,E,PS3,2K Sports,9.0,2.13,1.62,0.27,0.05,0.18,2011.0
929,project gotham racing,Racing,E,XB,Microsoft,8.4,2.12,1.37,0.61,0.05,0.09,2001.0
931,nba 2k11,Sports,E,X360,2K Sports,8.8,2.11,1.86,0.12,0.01,0.13,2010.0
933,pes 2009 pro evolution soccer,Sports,E,PS3,Konami,7.7,2.11,0.11,1.34,0.4,0.26,2008.0
934,need for speed hot pursuit 2,Racing,E,PS2,Electronic Arts,8.7,2.11,1.68,0.31,0.02,0.09,2002.0
942,need for speed most wanted 5 1 0,Racing,E10,PSP,Electronic Arts,7.4,2.09,1.77,0.13,0.02,0.17,2005.0
948,grand theft auto episodes from liberty city,Adventure,M,PS3,Rockstar Games,9.0,2.09,0.62,0.99,0.13,0.34,2010.0
953,portal 2,Shooter,E10,X360,Valve,9.6,2.08,1.41,0.49,0.01,0.17,2011.0
958,metal gear solid peace walker,Action,T,PSP,Konami,8.6,2.08,0.46,0.42,0.96,0.25,2010.0
963,ufc 2009 undisputed,Fighting,T,X360,THQ,8.4,2.07,1.48,0.39,0.0,0.19,2009.0
967,the incredibles,Action,E,GBA,THQ,5.4,2.06,1.15,0.77,0.04,0.1,2004.0
968,call of duty 2,Shooter,T,X360,Activision,8.8,2.06,1.84,0.04,0.01,0.16,2005.0
971,r4 ridge racer type 4,Racing,E,PS,Namco,9.1,2.06,0.68,0.46,0.79,0.13,1999.0
972,tom clancys splinter cell conviction,Action,M,X360,Ubisoft,8.6,2.06,1.2,0.62,0.04,0.19,2010.0
973,need for speed undercover,Racing,T,PS3,Electronic Arts,5.9,2.06,0.63,1.01,0.05,0.38,2008.0
974,need for speed prostreet,Racing,E10,X360,Electronic Arts,7.1,2.05,1.04,0.79,0.01,0.21,2007.0
979,dark souls,Role Playing,M,PS3,Namco Bandai,9.0,2.05,0.75,0.53,0.54,0.22,2011.0
982,need for speed prostreet,Racing,E10,PS3,Electronic Arts,7.2,2.04,0.73,0.91,0.04,0.36,2007.0
987,pgr4 project gotham racing 4,Racing,E,X360,Microsoft Game Studios,8.6,2.04,0.48,1.28,0.02,0.25,2007.0
988,dance central 2,Music,T,X360,Microsoft,8.6,2.04,1.45,0.41,0.01,0.16,2011.0
989,dragon quest xi echoes of an elusive age,Role Playing,T,PS4,Square Enix,10.0,2.04,0.29,0.22,1.43,0.1,2018.0
997,the sims 3,Simulation,T,PS3,Electronic Arts,8.1,2.03,0.73,0.96,0.02,0.31,2010.0
1003,need for speed the run,Racing,T,PS3,Electronic Arts,6.3,2.01,0.58,1.05,0.03,0.35,2011.0
1022,tenchu stealth assassins,Action,M,PS,Activision,8.8,1.99,0.95,0.64,0.27,0.13,1998.0
1024,harry potter and the chamber of secrets,Adventure,E,GBA,Electronic Arts,7.2,1.99,1.21,0.64,0.05,0.09,2002.0
1025,just cause 3,Action Adventure,M,PS4,Square Enix,7.5,1.98,0.53,1.07,0.09,0.3,2015.0
1036,hot shots golf open tee,Sports,E10,PSP,Sony Computer Entertainment,8.4,1.96,0.5,0.5,0.63,0.33,2005.0
1041,tom clancys rainbow six vegas,Shooter,T,X360,Ubisoft,8.8,1.95,1.09,0.65,0.02,0.2,2006.0
1047,burnout paradise,Racing,E10,PS3,Electronic Arts,9.0,1.95,1.01,0.63,0.02,0.28,2008.0
1056,fifa soccer 09,Sports,E,X360,Electronic Arts,8.7,1.94,0.49,1.26,0.01,0.18,2008.0
1063,the legend of zelda oracle of ages,Adventure,E,GBC,Nintendo,9.4,1.92,0.92,0.53,0.41,0.06,2001.0
1068,parappa the rapper,Misc,E,PS,Sony Computer Entertainment,9.2,1.92,0.26,0.16,1.46,0.03,1997.0
1070,need for speed shift,Racing,E,X360,Electronic Arts,8.2,1.91,0.73,0.96,0.01,0.22,2009.0
1077,star wars rogue leader rogue squadron ii,Simulation,T,GC,LucasArts,9.2,1.9,1.03,0.75,0.03,0.09,2001.0
1078,tomb raider 2013,Action,M,X360,Square Enix,8.5,1.9,0.86,0.87,0.01,0.16,2013.0
1088,minecraft,Sandbox,E10,NS,Mojang,9.2,1.89,0.69,0.56,0.52,0.12,2018.0
1089,ratchet amp clank future a crack in time,Platform,E10,PS3,Sony Computer Entertainment,8.7,1.89,1.05,0.55,0.03,0.26,2009.0
1090,madden nfl 09,Sports,E,PS3,EA Sports,8.6,1.89,1.56,0.15,0.0,0.18,2008.0
1102,fifa 2000,Sports,E,PS,EA Sports,8.8,1.87,0.22,1.47,0.04,0.14,1999.0
1103,infamous 2,Action,T,PS3,Sony Computer Entertainment,8.1,1.87,1.05,0.48,0.08,0.26,2011.0
1104,star wars the force unleashed,Action,T,Wii,LucasArts,6.8,1.86,1.11,0.56,0.0,0.19,2008.0
1105,the legend of zelda oracle of seasons,Adventure,E,GBC,Nintendo,9.3,1.86,0.87,0.52,0.41,0.06,2001.0
1108,shrek 2,Platform,E,PS2,Activision,6.9,1.86,1.12,0.69,0.03,0.02,2004.0
1110,the legend of dragoon,Role Playing,T,PS,Sony Computer Entertainment,7.8,1.86,0.94,0.44,0.39,0.1,2000.0
1111,turok 2 seeds of evil,Shooter,M,N64,Acclaim Entertainment,9.0,1.86,1.37,0.41,0.04,0.04,1998.0
1112,the evil within,Action,M,PS4,Bethesda Softworks,7.7,1.86,0.56,0.9,0.11,0.28,2014.0
1122,forza horizon 4,Racing,E,XOne,Microsoft Studios,9.2,1.84,0.74,0.95,0.01,0.15,2018.0
1131,air combat,Simulation,E,PS,Namco,7.0,1.83,0.92,0.33,0.52,0.05,1995.0
1133,demons souls,Role Playing,M,PS3,Atlus,9.1,1.83,0.97,0.34,0.35,0.17,2009.0
1139,bioshock infinite,Shooter,M,PS3,2K Games,9.5,1.82,0.74,0.74,0.04,0.3,2013.0
1142,the orange box,Shooter,M,X360,Electronic Arts,9.7,1.82,1.09,0.53,0.02,0.17,2007.0
1144,crazy taxi,Racing,T,DC,Sega,9.3,1.81,1.1,0.51,0.12,0.08,2000.0
1149,madden nfl 07,Sports,E,X360,EA Sports,8.2,1.8,1.66,0.0,0.01,0.13,2006.0
1171,ufc 2009 undisputed,Fighting,T,PS3,THQ,8.4,1.76,1.07,0.45,0.01,0.24,2009.0
1189,just cause 2,Action,M,PS3,Square Enix,8.3,1.75,0.45,0.92,0.06,0.32,2010.0
1197,fifa soccer 08,Sports,E,PS3,EA Sports,8.5,1.75,0.35,1.07,0.02,0.31,2007.0
1198,crackdown,Shooter,M,X360,Microsoft Game Studios,8.4,1.75,1.0,0.53,0.03,0.18,2007.0
1203,xenosaga episode i der wille zur macht,Role Playing,T,PS2,Namco,8.7,1.74,0.63,0.49,0.45,0.17,2003.0
1223,titanfall 2,Shooter,M,PS4,Electronic Arts,8.9,1.72,0.75,0.62,0.06,0.28,2016.0
1236,portal 2,Shooter,E10,PS3,Valve,9.6,1.71,0.83,0.62,0.02,0.24,2011.0
1262,need for speed undercover,Racing,T,X360,Electronic Arts,6.3,1.69,0.8,0.7,0.01,0.18,2008.0
1266,harry potter and the sorcerers stone,Action,E,GBA,Electronic Arts,6.6,1.69,0.87,0.66,0.08,0.08,2001.0
1270,far cry 4,Shooter,M,XOne,Ubisoft,8.5,1.68,0.85,0.68,0.02,0.14,2014.0
1271,saints row 2,Action,M,PS3,THQ,7.9,1.68,0.88,0.54,0.02,0.24,2008.0
1275,time crisis,Shooter,T,PS,Namco,8.5,1.68,0.38,0.87,0.33,0.1,1997.0
1281,we ski,Sports,E,Wii,Namco Bandai,7.1,1.68,0.97,0.41,0.14,0.15,2008.0
1285,dragon age origins,Role Playing,M,PS3,Electronic Arts,8.7,1.67,0.96,0.42,0.08,0.21,2009.0
1290,pgr project gotham racing 2,Racing,E,XB,Microsoft Game Studios,8.9,1.67,0.97,0.59,0.04,0.07,2003.0
1309,heavenly sword,Action,T,PS3,Sony Computer Entertainment,8.0,1.65,0.57,0.73,0.06,0.29,2007.0
1310,mysims,Simulation,E,Wii,Electronic Arts,7.1,1.65,0.9,0.54,0.04,0.17,2007.0
1311,need for speed carbon,Racing,E10,X360,Electronic Arts,7.9,1.65,0.76,0.69,0.02,0.18,2006.0
1315,army of two,Shooter,M,X360,Electronic Arts,6.7,1.64,1.09,0.37,0.02,0.16,2008.0
1328,ape escape,Platform,E,PS,Sony Computer Entertainment,9.3,1.63,0.71,0.48,0.32,0.11,1999.0
1330,kinectimals,Simulation,E,X360,Microsoft Game Studios,7.5,1.62,1.02,0.46,0.0,0.14,2010.0
1331,uncharted golden abyss,Action,T,PSV,Sony Computer Entertainment,7.9,1.62,0.53,0.71,0.13,0.25,2012.0
1334,the order 1886,Shooter,M,PS4,Sony Computer Entertainment,6.2,1.62,0.44,0.86,0.07,0.25,2015.0
1346,rage,Shooter,M,X360,Bethesda Softworks,7.9,1.6,0.82,0.6,0.03,0.15,2011.0
1365,just cause 2,Action,M,X360,Square Enix,8.0,1.6,0.59,0.83,0.02,0.17,2010.0
1366,silent hill,Adventure,M,PS,Konami,8.9,1.6,0.71,0.48,0.3,0.1,1999.0
1369,sonic generations,Platform,E,PS3,Sega,7.3,1.59,0.6,0.72,0.02,0.25,2011.0
1371,far cry 2,Shooter,M,X360,Ubisoft,8.5,1.59,0.72,0.69,0.02,0.18,2008.0
1372,soul blade,Fighting,T,PS,Namco,8.6,1.59,0.61,0.41,0.46,0.1,1997.0
1375,pro evolution soccer 2008,Sports,E,PS3,Konami,7.1,1.59,0.04,1.1,0.32,0.13,2008.0
1381,devil may cry 4,Action,M,PS3,Capcom,8.2,1.58,0.58,0.45,0.34,0.2,2008.0
1385,pro evolution soccer 2010,Sports,E,PS2,Konami,7.2,1.57,0.1,0.18,0.12,1.16,2009.0
1405,bioshock 2,Shooter,M,PS3,2K Games,8.5,1.55,0.85,0.46,0.02,0.22,2010.0
1408,007 the world is not enough,Shooter,T,N64,Electronic Arts,7.4,1.55,1.13,0.38,0.02,0.03,2000.0
1415,go vacation,Misc,E10,Wii,Namco Bandai,7.0,1.54,0.42,0.66,0.33,0.13,2011.0
1418,dark cloud,Role Playing,T,PS2,Sony Computer Entertainment,8.2,1.54,0.83,0.44,0.08,0.19,2001.0
1445,forza motorsport 7,Racing,E,XOne,Microsoft Studios,8.9,1.52,0.58,0.81,0.01,0.12,2017.0
1456,call of duty 3,Shooter,T,PS3,Activision,7.7,1.51,0.6,0.63,0.03,0.26,2006.0
1467,soulcalibur ii,Fighting,T,GC,Namco,9.2,1.5,0.99,0.32,0.11,0.08,2003.0
1469,metal gear rising revengeance,Action,M,PS3,Konami Digital Entertainment,9.0,1.5,0.47,0.41,0.44,0.18,2013.0
1487,wwf no mercy,Fighting,T,N64,THQ,9.1,1.5,1.2,0.27,0.02,0.02,2000.0
1492,mafia ii,Action,M,PS3,2K Games,7.0,1.49,0.5,0.7,0.04,0.25,2010.0
1493,dead rising 2,Action,M,X360,Capcom,8.2,1.49,0.75,0.53,0.09,0.13,2010.0
1498,resistance 3,Shooter,M,PS3,Sony Computer Entertainment,8.3,1.49,0.64,0.57,0.05,0.22,2011.0
1518,007 quantum of solace,Shooter,T,X360,Activision,6.6,1.48,0.82,0.51,0.01,0.14,2008.0
1528,minecraft,Misc,E10,WiiU,Mojang,5.5,1.47,0.5,0.49,0.38,0.09,2016.0
1530,fight night round 3,Fighting,T,X360,EA Sports,8.6,1.47,1.33,0.03,0.01,0.1,2006.0
1537,super monkey ball,Puzzle,E,GC,Sega,9.0,1.46,0.95,0.37,0.1,0.04,2001.0
1546,battlefield bad company,Shooter,T,X360,Electronic Arts,8.6,1.46,0.81,0.46,0.04,0.15,2008.0
1547,mass effect 2,Role Playing,M,PS3,Electronic Arts,9.3,1.46,0.78,0.46,0.03,0.18,2011.0
1548,homefront,Shooter,M,X360,THQ,6.7,1.46,0.83,0.48,0.02,0.12,2011.0
1562,the house of the dead 2 amp 3 return,Shooter,M,Wii,Sega,6.5,1.45,0.77,0.5,0.03,0.15,2008.0
1564,bioshock,Shooter,M,PS3,2K Games,9.3,1.44,0.75,0.48,0.01,0.21,2008.0
1574,wwe smackdown vs raw 2008,Fighting,T,X360,THQ,7.3,1.43,0.92,0.38,0.0,0.13,2007.0
1577,kinect joy ride,Racing,E,X360,Microsoft Game Studios,5.6,1.43,0.92,0.39,0.0,0.12,2010.0
1596,ufc undisputed 2010,Fighting,T,PS3,THQ,8.4,1.42,0.8,0.4,0.02,0.19,2010.0
1597,rayman raving rabbids,Misc,E,Wii,Ubisoft,7.5,1.42,1.22,0.07,0.02,0.11,2006.0
1607,ridge racer,Racing,E,PSP,Namco,8.8,1.41,0.36,0.45,0.32,0.27,2005.0
1634,sonic generations,Platform,E,X360,Sega,7.7,1.39,0.71,0.54,0.0,0.13,2011.0
1642,far cry 2,Shooter,M,PS3,Ubisoft,8.4,1.38,0.43,0.69,0.01,0.26,2008.0
1644,deus ex human revolution,Shooter,M,X360,Square Enix,8.8,1.38,0.77,0.47,0.02,0.12,2011.0
1647,deus ex human revolution,Shooter,M,PS3,Square Enix,8.8,1.38,0.5,0.6,0.07,0.22,2011.0
1657,crysis 2,Shooter,M,X360,Electronic Arts,8.7,1.37,0.73,0.5,0.02,0.13,2011.0
1659,dead rising 2,Action,M,PS3,Capcom,8.1,1.37,0.43,0.57,0.15,0.22,2010.0
1670,need for speed the run,Racing,T,X360,Electronic Arts,5.5,1.37,0.63,0.57,0.0,0.16,2011.0
1675,wolfenstein ii the new colossus,Shooter,M,PS4,Bethesda Softworks,9.0,1.36,0.55,0.58,0.01,0.22,2017.0
1679,gardening mama,Puzzle,E,DS,Majesco,6.6,1.36,0.79,0.42,0.01,0.13,2009.0
1682,marvel vs capcom 3 fate of two worlds,Fighting,T,PS3,Capcom,8.2,1.36,0.81,0.28,0.11,0.15,2011.0
1684,metroid other m,Action,T,Wii,Nintendo,7.7,1.36,0.85,0.28,0.13,0.1,2010.0
1690,burnout paradise,Racing,E10,X360,Electronic Arts,8.9,1.35,0.63,0.57,0.01,0.14,2008.0
1699,fifa soccer 09,Sports,E,PSP,EA Sports,8.1,1.35,0.23,0.73,0.02,0.37,2008.0
1704,tom clancys rainbow six vegas 2,Shooter,M,PS3,Ubisoft,8.2,1.34,0.66,0.45,0.04,0.2,2008.0
1705,devil may cry 4,Action,M,X360,Capcom,8.5,1.34,0.79,0.34,0.08,0.13,2008.0
1706,f1 2010,Racing,E,PS3,Codemasters,8.0,1.34,0.25,0.75,0.08,0.26,2010.0
1709,the ico amp shadow of the colossus collection,Adventure,T,PS3,Sony Computer Entertainment,9.0,1.34,0.67,0.36,0.13,0.18,2011.0
1710,donkey kong jungle beat,Platform,E10,GC,Nintendo,7.9,1.34,0.84,0.22,0.24,0.04,2005.0
1711,need for speed carbon,Racing,E10,PS2,Electronic Arts,7.7,1.34,1.22,0.05,0.05,0.01,2006.0
1712,battlefield bad company,Shooter,T,PS3,Electronic Arts,8.6,1.34,0.76,0.36,0.05,0.17,2008.0
1718,crysis 2,Shooter,M,PS3,Electronic Arts,8.8,1.33,0.48,0.57,0.06,0.22,2011.0
1720,alan wake,Action,T,X360,Microsoft Game Studios,8.3,1.33,0.66,0.5,0.05,0.12,2010.0
1721,spider man the movie,Platform,E,GBA,Activision,7.9,1.33,0.92,0.35,0.01,0.05,2002.0
1726,tony hawks pro skater,Sports,E,GB,Activision,7.1,1.33,0.9,0.38,0.01,0.05,2000.0
1731,grand theft auto chinatown wars,Adventure,M,DS,Rockstar Games,9.5,1.33,0.58,0.56,0.05,0.14,2009.0
1732,wwe smackdown vs raw 2008,Fighting,T,PS3,THQ,7.3,1.33,0.62,0.5,0.01,0.2,2007.0
1734,ufc undisputed 2010,Fighting,T,X360,THQ,8.6,1.32,0.9,0.31,0.0,0.11,2010.0
1735,fallout 76,Role Playing,M,PS4,Bethesda Softworks,5.1,1.32,0.52,0.49,0.1,0.2,2018.0
1736,need for speed underground rivals,Racing,E,PSP,Electronic Arts,7.6,1.32,0.69,0.38,0.02,0.24,2005.0
1740,mag massive action game,Shooter,T,PS3,Sony Computer Entertainment,7.4,1.32,0.77,0.3,0.09,0.16,2010.0
1746,rage,Shooter,M,PS3,Bethesda Softworks,7.9,1.32,0.47,0.59,0.06,0.2,2011.0
1765,nba live 07,Sports,E,PS2,EA Sports,6.3,1.3,1.07,0.04,0.02,0.17,2006.0
1785,the last guardian,Action Adventure,T,PS4,Sony Interactive Entertainment,7.9,1.29,0.4,0.58,0.13,0.19,2016.0
1803,need for speed carbon,Racing,E10,Wii,Electronic Arts,6.4,1.28,0.45,0.66,0.02,0.15,2006.0
1813,castlevania symphony of the night,Platform,T,PS,Konami,9.3,1.27,0.58,0.4,0.21,0.08,1997.0
1818,wwe 12,Fighting,T,X360,THQ,7.5,1.27,0.74,0.4,0.0,0.12,2011.0
1825,.hack,Role Playing,T,PS2,Bandai,7.7,1.27,0.49,0.38,0.26,0.13,2003.0
1834,hyrule warriors,Misc,T,WiiU,Nintendo,7.4,1.26,0.59,0.44,0.13,0.1,2014.0
1837,tomb raider underworld,Adventure,T,PS3,Eidos Interactive,7.8,1.26,0.45,0.55,0.05,0.21,2008.0
1840,socom us navy seals confrontation,Shooter,M,PS3,Sony Computer Entertainment,6.3,1.26,0.94,0.17,0.02,0.14,2008.0
1843,assassins creed bloodlines,Action,M,PSP,Ubisoft,6.3,1.26,0.43,0.5,0.05,0.28,2009.0
1856,need for speed most wanted,Racing,T,X360,Electronic Arts,8.4,1.25,1.0,0.13,0.02,0.1,2005.0
1858,black,Shooter,M,PS2,Electronic Arts,7.7,1.25,1.01,0.04,0.03,0.16,2006.0
1864,cars 2,Racing,E,DS,Disney Interactive Studios,6.5,1.25,0.68,0.41,0.04,0.12,2011.0
1879,need for speed carbon,Racing,E10,PS3,Electronic Arts,7.8,1.24,0.49,0.51,0.03,0.2,2006.0
1886,2010 fifa world cup south africa,Sports,E,PS3,EA Sports,8.2,1.23,0.3,0.64,0.07,0.22,2010.0
1893,donkey kong country 2,Platform,E,GBA,Nintendo,7.6,1.23,0.79,0.27,0.12,0.04,2004.0
1895,star wars battlefront ii,Shooter,T,PSP,LucasArts,6.9,1.22,1.05,0.06,0.01,0.1,2005.0
1896,intelligent qube,Puzzle,E,PS,Sony Computer Entertainment,7.4,1.22,0.13,0.07,1.0,0.02,1997.0
1915,bayonetta,Action,M,PS3,Sega,8.6,1.21,0.44,0.4,0.21,0.16,2010.0
1924,boom blox,Puzzle,E,Wii,Electronic Arts,8.6,1.21,0.71,0.38,0.0,0.12,2008.0
1926,fifa soccer 11,Sports,E,PSP,EA Sports,7.0,1.21,0.13,0.7,0.01,0.36,2010.0
1932,f1 2011,Racing,E,PS3,Codemasters,8.4,1.2,0.12,0.75,0.11,0.23,2011.0
1933,metal gear solid v ground zeroes,Action Adventure,M,PS4,Konami Digital Entertainment,7.6,1.2,0.36,0.5,0.17,0.17,2014.0
1957,shadow of the colossus,Action Adventure,T,PS4,Sony Interactive Entertainment,9.3,1.2,0.44,0.52,0.05,0.19,2018.0
1960,mario amp sonic at the london 2012 olympic games,Sports,E,3DS,Sega,6.5,1.19,0.18,0.66,0.27,0.08,2012.0
1965,metal gear solid portable ops,Action,M,PSP,Konami,8.7,1.19,0.38,0.35,0.38,0.09,2006.0
1973,spider man the movie,Action,E,GC,Activision,7.6,1.19,0.86,0.27,0.01,0.04,2002.0
1975,final fantasy i amp ii dawn of souls,Role Playing,E,GBA,Nintendo,7.1,1.19,0.64,0.24,0.29,0.02,2004.0
1991,red dead redemption undead nightmare,Action,M,PS3,Rockstar Games,10.0,1.18,0.47,0.45,0.06,0.19,2010.0
1992,wwe 12,Fighting,T,PS3,THQ,9.0,1.18,0.53,0.45,0.02,0.17,2011.0
1997,mission impossible,Action,T,N64,Ocean,6.6,1.17,0.74,0.38,0.02,0.03,1998.0
1999,wwe smackdown vs raw 2010,Fighting,T,PS3,THQ,8.1,1.17,0.48,0.48,0.01,0.19,2009.0
2001,army of two,Shooter,M,PS3,Electronic Arts,7.4,1.17,0.74,0.26,0.02,0.15,2008.0
2005,sunset overdrive,Action,M,XOne,Microsoft Studios,8.0,1.16,0.64,0.42,0.0,0.1,2014.0
2009,bushido blade,Fighting,T,PS,Sony Computer Entertainment,8.2,1.16,0.39,0.27,0.43,0.08,1997.0
2012,mirrors edge,Platform,T,X360,Electronic Arts,7.6,1.16,0.51,0.51,0.01,0.12,2008.0
2022,medal of honor heroes 2,Shooter,T,PSP,Electronic Arts,6.6,1.16,0.5,0.39,0.02,0.25,2007.0
2024,fifa soccer 10,Sports,E,PSP,EA Sports,7.9,1.16,0.16,0.68,0.01,0.31,2009.0
2029,the elder scrolls v skyrim,Role Playing,M,NS,Bethesda Softworks,8.6,1.15,0.67,0.32,0.06,0.1,2017.0
2034,dragon quest viii journey of the cursed king,Role Playing,T,3DS,Nintendo,8.8,1.15,0.14,0.11,0.88,0.02,2017.0
2035,ratchet amp clank all 4 one,Platform,E10,PS3,Sony Computer Entertainment,7.5,1.15,0.75,0.22,0.05,0.13,2011.0
2052,007 quantum of solace,Shooter,T,PS3,Activision,6.6,1.14,0.43,0.51,0.02,0.19,2008.0
2056,shadow of the colossus,Adventure,T,PS2,Sony Computer Entertainment,9.1,1.14,0.78,0.03,0.2,0.13,2005.0
2057,brave fencer musashi,Role Playing,E,PS,Square,8.4,1.14,0.25,0.17,0.65,0.07,1998.0
2060,hot shots golf out of bounds,Sports,E,PS3,Sony Computer Entertainment,8.3,1.14,0.31,0.03,0.76,0.04,2008.0
2081,mirrors edge,Platform,T,PS3,Electronic Arts,7.7,1.13,0.31,0.59,0.02,0.21,2008.0
2082,rocksmith,Misc,T,X360,Ubisoft,8.0,1.13,0.85,0.19,0.01,0.08,2011.0
2083,plants vs zombies garden warfare,Shooter,E10,X360,Electronic Arts,8.0,1.13,0.54,0.5,0.0,0.09,2014.0
2090,rocksmith,Misc,T,PS3,Ubisoft,8.0,1.13,0.53,0.38,0.09,0.13,2011.0
2095,modnation racers,Racing,E,PS3,Sony Computer Entertainment,8.1,1.13,0.5,0.4,0.06,0.16,2010.0
2098,socom us navy seals fireteam bravo,Shooter,M,PSP,Sony Computer Entertainment,7.9,1.12,1.03,0.0,0.01,0.08,2005.0
2113,dragon age ii,Role Playing,M,X360,Electronic Arts,8.0,1.12,0.72,0.29,0.01,0.09,2011.0
2116,crackdown 2,Shooter,M,X360,Microsoft Game Studios,7.5,1.12,0.63,0.36,0.02,0.1,2010.0
2117,crash bandicoot n sane trilogy,Platform,E10,NS,Activision,6.0,1.11,0.44,0.57,0.02,0.09,2018.0
2122,castlevania lords of shadow,Action,M,PS3,Konami,8.1,1.11,0.5,0.37,0.1,0.15,2010.0
2133,red dead redemption undead nightmare,Action,M,X360,Rockstar Games,10.0,1.11,0.61,0.38,0.02,0.1,2010.0
2165,fifa 18,Sports,E,NS,EA Sports,5.8,1.1,0.35,0.55,0.13,0.07,2017.0
2166,grid,Racing,E,PS3,Codemasters,8.6,1.1,0.31,0.57,0.03,0.19,2008.0
2170,tales of symphonia,Role Playing,T,GC,Namco,8.5,1.1,0.54,0.21,0.31,0.04,2004.0
2176,star ocean the second story,Role Playing,E,PS,Sony Computer Entertainment,8.2,1.1,0.26,0.1,0.72,0.02,1999.0
2179,untold legends brotherhood of the blade,Role Playing,T,PSP,Sony Online Entertainment,6.5,1.09,0.54,0.33,0.01,0.22,2005.0
2191,bully scholarship edition,Action,T,X360,Rockstar Games,8.1,1.09,0.53,0.42,0.03,0.11,2008.0
2199,skate 2,Sports,T,X360,Electronic Arts,8.2,1.09,0.82,0.17,0.01,0.09,2009.0
2203,dantes inferno,Action,M,PS3,Electronic Arts,7.3,1.08,0.64,0.28,0.04,0.12,2010.0
2205,virtua fighter 5,Fighting,T,PS3,Sega,8.7,1.08,0.29,0.52,0.08,0.2,2007.0
2206,pro evolution soccer 2014,Sports,E,PS3,Konami Digital Entertainment,8.3,1.08,0.03,0.46,0.51,0.08,2013.0
2214,grand theft auto chinatown wars,Adventure,M,PSP,Rockstar Games,9.2,1.08,0.28,0.5,0.03,0.27,2009.0
2216,star fox assault,Shooter,T,GC,Nintendo,6.6,1.08,0.68,0.18,0.19,0.03,2005.0
2219,marvel vs capcom 3 fate of two worlds,Fighting,T,X360,Capcom,8.4,1.07,0.79,0.18,0.03,0.08,2011.0
2223,prince of persia,Adventure,T,PS3,Ubisoft,8.3,1.07,0.47,0.41,0.03,0.17,2008.0
2228,virtua fighter,Fighting,T,SAT,Sega,9.0,1.07,0.17,0.12,0.77,0.02,1995.0
2232,tomb raider underworld,Adventure,T,X360,Eidos Interactive,7.5,1.07,0.53,0.42,0.01,0.11,2008.0
2234,soulcalibur iii,Fighting,T,PS2,Namco,8.5,1.07,0.74,0.15,0.13,0.05,2005.0
2235,naruto ultimate ninja storm,Fighting,T,PS3,Namco Bandai,7.8,1.07,0.49,0.34,0.09,0.15,2008.0
2240,spore creatures,Simulation,E,DS,Electronic Arts,7.2,1.07,0.66,0.3,0.0,0.1,2008.0
2244,dirt 3,Racing,T,PS3,Codemasters,9.0,1.06,0.27,0.58,0.01,0.2,2011.0
2251,endless ocean,Adventure,E,Wii,Nintendo,6.8,1.06,0.43,0.46,0.09,0.09,2008.0
2254,sonic generations,Platform,E,3DS,Sega,6.3,1.06,0.44,0.52,0.01,0.08,2011.0
2261,darksiders,Action,M,X360,THQ,7.8,1.06,0.67,0.28,0.01,0.1,2010.0
